No,time,src_ip,dst_ip,src_mac,dst_mac,protocol,src_port,dst_port,eth_type,flag,frame_len,Src_host_count,Src_ARP_count,Src_ICMP_count,Src_IGMP_count,Src_TCP_count,Src_UDP_count,diff_proto_rate,Diff_dest_port,TCP,UDP,ICMP,IGMP,ARP,label
7695,"Jun 14, 2022 20:37:31.163957000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,321,5,0,0,185,29,4,2,1,0,0,0,0,0
7696,"Jun 14, 2022 20:37:31.163968000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3517,1043,1150,1150,1324,0,3,15,1,0,0,0,0,0
7697,"Jun 14, 2022 20:37:31.446118000 GMT Summer Time",10.0.0.2,10.0.0.80,8e:81:b5:0d:68:3d,ff:ff:ff:ff:ff:ff,ARP,0,0,0x0806,0,42,3518,1044,1150,1150,1324,0,3,15,0,0,0,0,1,0
7698,"Jun 14, 2022 20:37:31.497366000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,322,5,0,0,186,29,4,2,1,0,0,0,0,0
7699,"Jun 14, 2022 20:37:31.497383000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3519,1044,1150,1150,1325,0,3,15,1,0,0,0,0,0
7700,"Jun 14, 2022 20:37:31.830667000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,323,5,0,0,187,29,4,2,1,0,0,0,0,0
7701,"Jun 14, 2022 20:37:31.830703000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3520,1044,1150,1150,1326,0,3,15,1,0,0,0,0,0
7702,"Jun 14, 2022 20:37:32.164002000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,324,5,0,0,188,29,4,2,1,0,0,0,0,0
7703,"Jun 14, 2022 20:37:32.164017000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3521,1044,1150,1150,1327,0,3,15,1,0,0,0,0,0
7704,"Jun 14, 2022 20:37:32.497379000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,325,5,0,0,189,29,4,2,1,0,0,0,0,0
